Company,Customer ID,Cliente,Pagador,Application ID,Loan ID,Product Type,Disbursement Date,TPV,Disbursement Amount,Origination Fee,Origination Fee Taxes,Loan Currency,Interest Rate APR,Term,Term Unit,Payment Frequency,Days in Default,Loan Status,Outstanding Loan Value,Pledge To,Pledge Date,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value,delinquency_bucket,risk_score,advance_rate
Abaco Technologies,CLIAB001000,"EMPRESA EJEMPLO 1, S.A. DE C.V.","PAGADOR EJEMPLO 1, S.A. DE C.V.",DSB2464-431,DSB2464-431,factoring,2025-02-02,38079.47,35893.98,1076.82,139.99,USD,0.3449,180,days,bullet,0,Current,2211.79,,,,,,,,,current,0.14816000000000001,0.9426071318744721
Abaco Financial,CLIAB001001,"EMPRESA EJEMPLO 2, S.A. DE C.V.","PAGADOR EJEMPLO 2, S.A. DE C.V.",DSB9353-755,DSB9353-755,factoring,2025-09-30,86751.44,77223.29,2316.7,301.17,USD,0.3127,180,days,bullet,10,Complete,18420.72,,,,,,,,,early_delinquent,0.19950222222222222,0.8901672410279298
Abaco Financial,CLIAB001002,"EMPRESA EJEMPLO 3, S.A. DE C.V.","PAGADOR EJEMPLO 3, S.A. DE C.V.",DSB5864-085,DSB5864-085,factoring,2025-02-22,19000.67,15723.26,471.7,61.32,USD,0.3029,180,days,bullet,0,Current,11625.62,,,,,,,,,current,0.15916000000000002,0.8275108193553176
Abaco Financial,CLIAB001003,"EMPRESA EJEMPLO 4, S.A. DE C.V.","PAGADOR EJEMPLO 4, S.A. DE C.V.",DSB6075-744,DSB6075-744,factoring,2025-05-18,14809.89,12496.91,374.91,48.74,USD,0.2082,90,days,bullet,0,Default,6912.71,,,,,,,,,current,0.41128000000000003,0.8438219325059133
Abaco Technologies,CLIAB001004,"EMPRESA EJEMPLO 5, S.A. DE C.V.","PAGADOR EJEMPLO 5, S.A. DE C.V.",DSB4993-438,DSB4993-438,factoring,2024-11-04,86134.1,77696.93,2330.91,303.02,USD,0.1663,120,days,bullet,5,Current,33197.5,,,,,,,,,early_delinquent,0.14983111111111114,0.902046111818664
Abaco Financial,CLIAB001005,"EMPRESA EJEMPLO 6, S.A. DE C.V.","PAGADOR EJEMPLO 6, S.A. DE C.V.",DSB7864-182,DSB7864-182,factoring,2025-01-06,2580.66,2153.91,64.62,8.4,USD,0.26,120,days,bullet,0,Current,2346.65,,,,,,,,,current,0.115,0.8346353258468764
Abaco Financial,CLIAB001006,"EMPRESA EJEMPLO 7, S.A. DE C.V.","PAGADOR EJEMPLO 7, S.A. DE C.V.",DSB8753-402,DSB8753-402,factoring,2025-03-19,26619.22,23940.75,718.22,93.37,USD,0.2563,60,days,bullet,0,Current,22420.96,,,,,,,,,current,0.16072,0.8993783439184168
Abaco Financial,CLIAB001007,"EMPRESA EJEMPLO 8, S.A. DE C.V.","PAGADOR EJEMPLO 8, S.A. DE C.V.",DSB1547-190,DSB1547-190,factoring,2025-09-18,45525.66,39118.95,1173.57,152.56,USD,0.2995,120,days,bullet,0,Current,17694.79,,,,,,,,,current,0.1706,0.8592725509086523
Abaco Financial,CLIAB001008,"EMPRESA EJEMPLO 9, S.A. DE C.V.","PAGADOR EJEMPLO 9, S.A. DE C.V.",DSB5739-010,DSB5739-010,factoring,2025-03-16,27863.55,25754.58,772.64,100.44,USD,0.3913,120,days,bullet,0,Current,22352.06,,,,,,,,,current,0.21431999999999998,0.9243107931329642
Abaco Financial,CLIAB001009,"EMPRESA EJEMPLO 10, S.A. DE C.V.","PAGADOR EJEMPLO 10, S.A. DE C.V.",DSB5827-401,DSB5827-401,factoring,2025-08-20,8380.51,7945.0,238.35,30.99,USD,0.2487,90,days,bullet,0,Complete,6622.08,,,,,,,,,current,0.12628,0.9480329956052793
Abaco Financial,CLIAB001010,"EMPRESA EJEMPLO 11, S.A. DE C.V.","PAGADOR EJEMPLO 11, S.A. DE C.V.",DSB5951-131,DSB5951-131,factoring,2024-12-13,60990.04,57266.3,1717.99,223.34,USD,0.179,30,days,bullet,0,Current,3876.43,,,,,,,,,current,0.08979999999999999,0.9389451130053367
Abaco Technologies,CLIAB001011,"EMPRESA EJEMPLO 12, S.A. DE C.V.","PAGADOR EJEMPLO 12, S.A. DE C.V.",DSB8811-044,DSB8811-044,factoring,2025-06-25,31787.25,26980.3,809.41,105.22,USD,0.2978,90,days,bullet,0,Current,30888.06,,,,,,,,,current,0.18892,0.8487774186191004
Abaco Technologies,CLIAB001012,"EMPRESA EJEMPLO 13, S.A. DE C.V.","PAGADOR EJEMPLO 13, S.A. DE C.V.",DSB7850-678,DSB7850-678,factoring,2025-07-24,85042.47,77240.62,2317.22,301.24,USD,0.3427,90,days,bullet,0,Current,2161.71,,,,,,,,,current,0.14668,0.9082593673490433
Abaco Technologies,CLIAB001013,"EMPRESA EJEMPLO 14, S.A. DE C.V.","PAGADOR EJEMPLO 14, S.A. DE C.V.",DSB7492-128,DSB7492-128,factoring,2024-11-01,11681.25,9400.07,282.0,36.66,USD,0.2688,180,days,bullet,0,Complete,2912.05,,,,,,,,,current,0.12112,0.8047143927233814
Abaco Financial,CLIAB001014,"EMPRESA EJEMPLO 15, S.A. DE C.V.","PAGADOR EJEMPLO 15, S.A. DE C.V.",DSB3919-398,DSB3919-398,factoring,2025-06-09,41627.91,38020.13,1140.6,148.28,USD,0.3857,90,days,bullet,0,Complete,25990.55,,,,,,,,,current,0.21648,0.9133326655121526
Abaco Financial,CLIAB001015,"EMPRESA EJEMPLO 16, S.A. DE C.V.","PAGADOR EJEMPLO 16, S.A. DE C.V.",DSB6266-919,DSB6266-919,factoring,2025-09-17,30267.73,24693.15,740.79,96.3,USD,0.3509,120,days,bullet,0,Complete,9817.19,,,,,,,,,current,0.17376000000000003,0.8158243118991745
Abaco Financial,CLIAB001016,"EMPRESA EJEMPLO 17, S.A. DE C.V.","PAGADOR EJEMPLO 17, S.A. DE C.V.",DSB8300-815,DSB8300-815,factoring,2025-05-26,13086.71,11168.78,335.06,43.56,USD,0.1775,30,days,bullet,0,Current,4613.97,,,,,,,,,current,0.091,0.8534444486047297
Abaco Technologies,CLIAB001017,"EMPRESA EJEMPLO 18, S.A. DE C.V.","PAGADOR EJEMPLO 18, S.A. DE C.V.",DSB6031-114,DSB6031-114,factoring,2025-08-28,31173.34,25708.61,771.26,100.26,USD,0.2544,180,days,bullet,0,Current,7610.21,,,,,,,,,current,0.13176000000000002,0.824698604641017
Abaco Financial,CLIAB001018,"EMPRESA EJEMPLO 19, S.A. DE C.V.","PAGADOR EJEMPLO 19, S.A. DE C.V.",DSB1456-372,DSB1456-372,factoring,2024-11-12,17660.81,14708.18,441.25,57.36,USD,0.3258,30,days,bullet,0,Current,4360.03,,,,,,,,,current,0.14952,0.8328145764548738
Abaco Technologies,CLIAB001019,"EMPRESA EJEMPLO 20, S.A. DE C.V.","PAGADOR EJEMPLO 20, S.A. DE C.V.",DSB8352-376,DSB8352-376,factoring,2025-02-12,69934.12,63419.1,1902.57,247.33,USD,0.2212,30,days,bullet,0,Default,28745.51,,,,,,,,,current,0.45367999999999997,0.9068406094192649
Abaco Technologies,CLIAB001020,"EMPRESA EJEMPLO 21, S.A. DE C.V.","PAGADOR EJEMPLO 21, S.A. DE C.V.",DSB1784-950,DSB1784-950,factoring,2024-11-12,4272.02,3638.74,109.16,14.19,USD,0.2099,60,days,bullet,0,Current,2361.97,,,,,,,,,current,0.09516000000000001,0.8517609936283068
Abaco Financial,CLIAB001021,"EMPRESA EJEMPLO 22, S.A. DE C.V.","PAGADOR EJEMPLO 22, S.A. DE C.V.",DSB3165-174,DSB3165-174,factoring,2024-11-07,59676.98,48465.34,1453.96,189.01,USD,0.2094,180,days,bullet,0,Current,31973.41,,,,,,,,,current,0.15516000000000002,0.8121278925307547
Abaco Financial,CLIAB001022,"EMPRESA EJEMPLO 23, S.A. DE C.V.","PAGADOR EJEMPLO 23, S.A. DE C.V.",DSB7688-877,DSB7688-877,factoring,2025-04-11,9938.69,9196.22,275.89,35.87,USD,0.277,180,days,bullet,1,Current,2188.91,,,,,,,,,early_delinquent,0.12302222222222223,0.9252949835441088
Abaco Financial,CLIAB001023,"EMPRESA EJEMPLO 24, S.A. DE C.V.","PAGADOR EJEMPLO 24, S.A. DE C.V.",DSB5706-724,DSB5706-724,factoring,2025-06-19,71403.8,65793.26,1973.8,256.59,USD,0.3113,120,days,bullet,5,Current,36969.42,,,,,,,,,early_delinquent,0.21303111111111112,0.9214251902559807
Abaco Technologies,CLIAB001024,"EMPRESA EJEMPLO 25, S.A. DE C.V.","PAGADOR EJEMPLO 25, S.A. DE C.V.",DSB1060-775,DSB1060-775,factoring,2025-01-08,83933.3,75653.58,2269.61,295.05,USD,0.1784,60,days,bullet,0,Current,68592.16,,,,,,,,,current,0.16636,0.9013535748028494
