Company,Customer ID,Cliente,Pagador,Loan ID,Payment Date,TPV,Total Payment,Currency,Principal Payment,Interest Payment,Fee Payment,Other Payment,Tax Payment,All Rebates,Outstanding Loan Value,interest_burden
Abaco Financial,CLIAB000078,SCHEDULE 001 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB644-001,2025-10-02,16106.9,15478.860947,USD,2195.52,1570.5309,451.0,,161.383339,,0,0.10146295036679613
Abaco Technologies,CLIAB000079,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 002 ANTONIO ISLEÑO LOVO,DSB1619-002,2025-11-01,19399.39,13703.421652,USD,3049.46,594.1403,61.61,,174.203679,,0,0.04335707643596341
Abaco Technologies,CLIAB000080,SCHEDULE 003 DEL CARMEN GARCIA DE ARAUJO,PAYER 003 ANTONIO ISLEÑO LOVO,DSB909-003,2025-12-01,10084.07,1820.571195,USD,9768.06,554.8848,232.72,,260.513856,,0,0.3047861031328687
Abaco Financial,CLIAB000081,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1875-004,2025-12-31,7537.03,10774.195875,USD,10794.18,297.2342,315.75,,142.454433,,0,0.027587599431869433
Abaco Financial,CLIAB000082,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB605-005,2026-01-30,17225.15,13290.003501,USD,4039.0,1885.628,466.77,,346.269623,,0,0.14188318309006592
Abaco Financial,CLIAB000083,SCHEDULE 006 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1659-006,2026-03-01,6548.36,7870.44683,USD,8078.65,555.3823,575.63,,52.11237,,0,0.0705655361120075
Abaco Technologies,CLIAB000084,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB788-007,2026-03-31,12589.48,14363.775376,USD,16852.66,1993.8626,58.52,,178.274036,,0,0.13881187555546748
Abaco Technologies,CLIAB000085,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB993-008,2026-04-30,16405.64,12005.401617,USD,6845.53,180.9225,120.82,,291.602036,,0,0.015070091428162508
Abaco Financial,CLIAB000086,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1756-009,2026-05-30,4063.56,12872.755049,USD,12536.58,330.5435,34.07,,18.728372,,0,0.025677758859062403
Abaco Technologies,CLIAB000087,SCHEDULE 010 DEL CARMEN GARCIA DE ARAUJO,"CASA BETYKAS, S.A. DE C.V.",DSB915-010,2026-06-29,20094.86,19118.174574,USD,13160.55,1144.4154,252.16,,70.505968,,0,0.05986007689020489
Abaco Technologies,CLIAB000088,SCHEDULE 011 DEL CARMEN GARCIA DE ARAUJO,PAYER 011 ANTONIO ISLEÑO LOVO,DSB1790-011,2026-07-29,18190.0,16922.571864,USD,14276.2,783.0624,75.86,,289.571817,,0,0.04627325008829403
Abaco Technologies,CLIAB000089,SCHEDULE 012 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB824-012,2026-08-28,17569.95,11153.599132,USD,6687.33,1397.3798,552.09,,318.607406,,0,0.12528510155891087
Abaco Technologies,CLIAB000090,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 013 ANTONIO ISLEÑO LOVO,DSB716-013,2026-09-27,6606.59,5417.396499,USD,11834.02,1326.6306,204.63,,213.306151,,0,0.24488342329103718
Abaco Technologies,CLIAB000091,SCHEDULE 014 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB659-014,2026-10-27,16224.93,20997.578139,USD,8524.6,1474.5931,451.62,,237.458782,,0,0.07022681807580247
Abaco Financial,CLIAB000092,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 015 ANTONIO ISLEÑO LOVO,DSB1187-015,2026-11-26,15994.28,21703.444994,USD,2616.78,499.5008,563.85,,125.055561,,0,0.023014816317782218
Abaco Financial,CLIAB000093,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1799-016,2026-12-26,9106.06,6213.665338,USD,12741.22,1284.4129,274.15,,31.128935,,0,0.20670776910772856
Abaco Financial,CLIAB000094,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB626-017,2027-01-25,6432.45,3470.042721,USD,8823.97,1536.1226,284.23,,327.505005,,0,0.4426811781606305
Abaco Technologies,CLIAB000095,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1033-018,2027-02-24,20934.23,10278.083083,USD,10484.92,254.5827,373.25,,144.680714,,0,0.024769472862218932
Abaco Financial,CLIAB000096,"ARTISTA LIVE, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB847-019,2027-03-26,4374.16,10943.498179,USD,17608.35,212.2376,42.91,,171.546359,,0,0.01939394483632965
Abaco Technologies,CLIAB000097,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB728-020,2027-04-25,9613.8,16184.723911,USD,3849.76,1396.015,226.36,,268.536306,,0,0.08625510127183536
Abaco Financial,CLIAB000098,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB887-021,2027-05-25,21335.57,18129.945449,USD,16929.84,620.9066,209.56,,291.185708,,0,0.03424757133145415
Abaco Technologies,CLIAB000099,"ARTISTA LIVE, S.A. DE C.V.",PAYER 022 ANTONIO ISLEÑO LOVO,DSB1515-022,2027-06-24,6299.76,4468.66762,USD,12066.74,775.9788,51.89,,309.460873,,0,0.1736488067555134
Abaco Technologies,CLIAB000100,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 023 ANTONIO ISLEÑO LOVO,DSB879-023,2027-07-24,2280.19,13110.97089,USD,13154.64,163.9551,562.64,,184.264835,,0,0.012505183740820583
Abaco Financial,CLIAB000101,SCHEDULE 024 DEL CARMEN GARCIA DE ARAUJO,"ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1471-024,2027-08-23,17043.89,5377.567648,USD,7430.86,1709.6198,290.39,,135.603139,,0,0.3179169304612716
Abaco Financial,CLIAB000102,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","CASA BETYKAS, S.A. DE C.V.",DSB1286-025,2027-09-22,12616.2,3070.282288,USD,15133.21,1097.1362,97.38,,235.842555,,0,0.3573404974155262
Abaco Financial,CLIAB000103,"TRES DE TRES TRANSPORTES, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB1293-026,2027-10-22,20803.29,12498.794986,USD,15748.55,1552.9996,578.06,,240.127103,,0,0.12425194602675915
Abaco Technologies,CLIAB000104,"TRES DE TRES TRANSPORTES, S.A. DE C.V.",PAYER 027 ANTONIO ISLEÑO LOVO,DSB858-027,2027-11-21,10182.26,20940.376913,USD,15799.76,1292.243,347.71,,54.513326,,0,0.06171058932553226
Abaco Technologies,CLIAB000105,"ARTISTA LIVE, S.A. DE C.V.","ADQUISICIONES EXTERNAS, S.A. DE C.V.",DSB976-028,2027-12-21,9892.84,3459.674787,USD,17030.62,172.7029,367.68,,243.522126,,0,0.049918824927980145
